id	height	width
NMAAHC-HCA_12.41.C	1710.0	1446.0
NMAAHC-HCA_15.14.A	1752.0	1416.0
NMAAHC-HCA_15.14.B	1760.0	1408.0
NMAAHC-HCA_7.23.D	1404.0	1776.0
NMAAHC-HCA_15.14.C	1712.0	1376.0
NMAAHC-HCA_17.3.B	1752.0	1477.0
NMAAHC-HCA_21.36.C	1640.0	1323.0
NMAAHC-HCA_7.41.D	1404.0	1776.0
NMAAHC-HCA_11.37.B	1375.0	1728.0
NMAAHC-HCA_13.42.D	1764.0	1411.0
NMAAHC-HCA_17.18.B	1752.0	1477.0
NMAAHC-HCA_12.40.D	1440.0	1872.0
NMAAHC-HCA_15.62.C	1594.0	1315.0
NMAAHC-2007_1_69_15_9_A_001	2000.0	1619.0
NMAAHC-HCA_16.22.B	1728.0	1376.0
NMAAHC-HCA_16.25.C	1704.0	1400.0
NMAAHC-HCA_16.26.C	1704.0	1400.0
NMAAHC-HCA_16.27.A	1440.0	1848.0
NMAAHC-HCA_16.29.A	1848.0	1440.0
NMAAHC-HCA_16.31.D	1408.0	1816.0
NMAAHC-HCA_16.34.A	1848.0	1440.0
NMAAHC-HCA_16.36.C	1400.0	1704.0
NMAAHC-HCA_16.41.A	1440.0	1848.0
NMAAHC-HCA_16.42.B.1	1276.0	795.0
NMAAHC-HCA_16.45.B.2	732.0	705.0
NMAAHC-HCA_16.46.A	1848.0	1440.0
NMAAHC-HCA_17.1.D	1806.0	1471.0
NMAAHC-HCA_17.10.D	1471.0	1806.0
NMAAHC-HCA_17.11.B	1752.0	1477.0
NMAAHC-HCA_17.13.C	1800.0	1470.0
NMAAHC-HCA_17.15.D	1471.0	1806.0
NMAAHC-HCA_17.17.B	1752.0	1477.0
NMAAHC-HCA_17.19.B	1752.0	1477.0
NMAAHC-HCA_17.19.D	1471.0	1806.0
NMAAHC-HCA_17.23.B	1752.0	1477.0
NMAAHC-HCA_17.25.C	1470.0	1800.0
NMAAHC-HCA_17.27.C	1470.0	1800.0
NMAAHC-HCA_17.29.B	1477.0	1752.0
NMAAHC-HCA_17.3.A	1776.0	1476.0
NMAAHC-HCA_17.30.C	1800.0	1470.0
NMAAHC-HCA_17.31.C	1470.0	1800.0
NMAAHC-HCA_17.37.C	1470.0	1800.0
NMAAHC-HCA_17.4.B	1477.0	1752.0
NMAAHC-HCA_17.41.D	1471.0	1806.0
NMAAHC-HCA_17.46.C	1800.0	1470.0
NMAAHC-HCA_17.47.C	1800.0	1470.0
NMAAHC-HCA_17.47.D	1806.0	1471.0
NMAAHC-HCA_17.5.B	1752.0	1477.0
NMAAHC-HCA_18.15.D	1380.0	1716.0
NMAAHC-HCA_18.17.A	1698.0	1386.0
NMAAHC-HCA_18.17.B	1692.0	1344.0
NMAAHC-HCA_18.18.C.2	780.0	780.0
NMAAHC-HCA_18.18.D	1716.0	1380.0
NMAAHC-HCA_18.2.A	1698.0	1386.0
NMAAHC-HCA_18.2.B	1692.0	1344.0
NMAAHC-HCA_18.2.C	1698.0	1386.0
NMAAHC-HCA_18.20.A	1698.0	1386.0
NMAAHC-HCA_18.20.B	1673.0	1231.0
NMAAHC-HCA_18.20.D	1716.0	1380.0
NMAAHC-HCA_18.21.D	1716.0	1380.0
NMAAHC-HCA_18.23.A	1698.0	1386.0
NMAAHC-HCA_18.23.B	1692.0	1344.0
NMAAHC-HCA_18.24.C	1698.0	1386.0
NMAAHC-HCA_18.25.A	1698.0	1386.0
NMAAHC-HCA_18.25.B	1692.0	1344.0
NMAAHC-HCA_18.26.A	1698.0	1386.0
NMAAHC-HCA_18.28.D	1311.0	819.0
NMAAHC-HCA_18.29.A	1698.0	1386.0
NMAAHC-HCA_18.29.B	1692.0	1344.0
NMAAHC-HCA_18.29.D	1716.0	1380.0
NMAAHC-HCA_18.3.A	1698.0	1386.0
NMAAHC-HCA_18.3.B	1692.0	1344.0
NMAAHC-HCA_18.3.C	1698.0	1386.0
NMAAHC-HCA_18.4.A	1698.0	1386.0
NMAAHC-HCA_18.4.B	1692.0	1344.0
NMAAHC-HCA_18.4.C	1698.0	1386.0
NMAAHC-HCA_18.4.D	1716.0	1380.0
NMAAHC-HCA_18.5.A	1698.0	1386.0
NMAAHC-HCA_18.5.B	1692.0	1344.0
NMAAHC-HCA_18.5.C	1698.0	1386.0
NMAAHC-HCA_18.5.D	1716.0	1380.0
NMAAHC-HCA_18.6.A	1698.0	1386.0
NMAAHC-HCA_18.6.C	1698.0	1386.0
NMAAHC-HCA_18.7.B	1692.0	1344.0
NMAAHC-HCA_18.7.C	1698.0	1386.0
NMAAHC-HCA_18.7.D	1716.0	1380.0
NMAAHC-HCA_18.8.B	1692.0	1344.0
NMAAHC-HCA_19.1.A	1752.0	1416.0
NMAAHC-HCA_19.1.C	1698.0	1398.0
NMAAHC-HCA_19.10.A	1752.0	1416.0
NMAAHC-HCA_19.10.B	1710.0	1369.0
NMAAHC-HCA_19.11.C	1698.0	1398.0
NMAAHC-HCA_19.14.B	1710.0	1369.0
NMAAHC-HCA_19.14.C	1398.0	1698.0
NMAAHC-HCA_19.19.A	1752.0	1416.0
NMAAHC-HCA_19.19.B	1710.0	1369.0
NMAAHC-HCA_19.33.B	1710.0	1369.0
NMAAHC-HCA_19.33.C	1698.0	1398.0
NMAAHC-HCA_19.33.D	1728.0	1357.0
NMAAHC-HCA_19.34.B	1369.0	1710.0
NMAAHC-HCA_13.39.A	1734.0	1398.0
NMAAHC-HCA_13.39.D	1764.0	1411.0
NMAAHC-HCA_13.40.C	1752.0	1416.0
NMAAHC-HCA_13.42.C	1416.0	1752.0
NMAAHC-HCA_13.43.D	1764.0	1411.0
