width	height	edan_id	ids_id
500.0	627.0	nmaahc_2007.1.69.1.1.B	NMAAHC-HCA_1_1_B
499.0	602.0	nmaahc_2007.1.69.1.1.C	NMAAHC-HCA_1_1_C
499.0	626.0	nmaahc_2007.1.69.1.1.D	NMAAHC-HCA_1_1_D
500.0	616.0	nmaahc_2007.1.69.1.10.A	NMAAHC-HCA_1_10_A
500.0	622.0	nmaahc_2007.1.69.1.10.B	NMAAHC-HCA_1_10_B
500.0	617.0	nmaahc_2007.1.69.1.10.C	NMAAHC-HCA_1_10_C
500.0	616.0	nmaahc_2007.1.69.1.10.D	NMAAHC-HCA_1_10_D
499.0	617.0	nmaahc_2007.1.69.1.11.A	NMAAHC-HCA_1_11_A
500.0	609.0	nmaahc_2007.1.69.1.11.B	NMAAHC-HCA_1_11_B
500.0	597.0	nmaahc_2007.1.69.1.11.C	NMAAHC-HCA_1_11_C
500.0	598.0	nmaahc_2007.1.69.1.11.D	NMAAHC-HCA_1_11_D
499.0	781.0	nmaahc_2007.1.69.1.12.A.1	NMAAHC-HCA_1_12_A_1
500.0	791.0	nmaahc_2007.1.69.1.12.A.2	NMAAHC-HCA_1_12_A_2
500.0	791.0	nmaahc_2007.1.69.1.12.B.1	NMAAHC-HCA_1_12_B_1
500.0	784.0	nmaahc_2007.1.69.1.12.B.2	NMAAHC-HCA_1_12_B_2
500.0	607.0	nmaahc_2007.1.69.1.12.C	NMAAHC-HCA_1_12_C
499.0	587.0	nmaahc_2007.1.69.1.12.D	NMAAHC-HCA_1_12_D
500.0	603.0	nmaahc_2007.1.69.1.13.A	NMAAHC-HCA_1_13_A
499.0	627.0	nmaahc_2007.1.69.1.13.B	NMAAHC-HCA_1_13_B
500.0	607.0	nmaahc_2007.1.69.1.13.C	NMAAHC-HCA_1_13_C
499.0	587.0	nmaahc_2007.1.69.1.13.D	NMAAHC-HCA_1_13_D
500.0	603.0	nmaahc_2007.1.69.1.14.A	NMAAHC-HCA_1_14_A
499.0	627.0	nmaahc_2007.1.69.1.14.B	NMAAHC-HCA_1_14_B
500.0	607.0	nmaahc_2007.1.69.1.14.C	NMAAHC-HCA_1_14_C
500.0	612.0	nmaahc_2007.1.69.1.14.D	NMAAHC-HCA_1_14_D
500.0	603.0	nmaahc_2007.1.69.1.15.A	NMAAHC-HCA_1_15_A
499.0	627.0	nmaahc_2007.1.69.1.15.B	NMAAHC-HCA_1_15_B
500.0	607.0	nmaahc_2007.1.69.1.15.C	NMAAHC-HCA_1_15_C
500.0	612.0	nmaahc_2007.1.69.1.15.D	NMAAHC-HCA_1_15_D
500.0	603.0	nmaahc_2007.1.69.1.16.A	NMAAHC-HCA_1_16_A
499.0	627.0	nmaahc_2007.1.69.1.16.B	NMAAHC-HCA_1_16_B
500.0	607.0	nmaahc_2007.1.69.1.16.C	NMAAHC-HCA_1_16_C
500.0	612.0	nmaahc_2007.1.69.1.16.D	NMAAHC-HCA_1_16_D
500.0	603.0	nmaahc_2007.1.69.1.17.A	NMAAHC-HCA_1_17_A
499.0	627.0	nmaahc_2007.1.69.1.17.B	NMAAHC-HCA_1_17_B
500.0	612.0	nmaahc_2007.1.69.1.17.D	NMAAHC-HCA_1_17_D
500.0	603.0	nmaahc_2007.1.69.1.18.A	NMAAHC-HCA_1_18_A
499.0	627.0	nmaahc_2007.1.69.1.18.B	NMAAHC-HCA_1_18_B
500.0	607.0	nmaahc_2007.1.69.1.18.C	NMAAHC-HCA_1_18_C
500.0	612.0	nmaahc_2007.1.69.1.18.D	NMAAHC-HCA_1_18_D
500.0	603.0	nmaahc_2007.1.69.1.19.A	NMAAHC-HCA_1_19_A
499.0	627.0	nmaahc_2007.1.69.1.19.B	NMAAHC-HCA_1_19_B
500.0	607.0	nmaahc_2007.1.69.1.19.C	NMAAHC-HCA_1_19_C
500.0	612.0	nmaahc_2007.1.69.1.19.D	NMAAHC-HCA_1_19_D
500.0	612.0	nmaahc_2007.1.69.1.19.D	NMAAHC-HCA_1_19_D
500.0	623.0	nmaahc_2007.1.69.1.2.B	NMAAHC-HCA_1_2_B
499.0	605.0	nmaahc_2007.1.69.1.2.C	NMAAHC-HCA_1_2_C
500.0	591.0	nmaahc_2007.1.69.1.2.D	NMAAHC-HCA_1_2_D
500.0	603.0	nmaahc_2007.1.69.1.20.A	NMAAHC-HCA_1_20_A
499.0	627.0	nmaahc_2007.1.69.1.20.B	NMAAHC-HCA_1_20_B
500.0	607.0	nmaahc_2007.1.69.1.20.C	NMAAHC-HCA_1_20_C
500.0	612.0	nmaahc_2007.1.69.1.20.D	NMAAHC-HCA_1_20_D
500.0	603.0	nmaahc_2007.1.69.1.21.A	NMAAHC-HCA_1_21_A
499.0	627.0	nmaahc_2007.1.69.1.21.B	NMAAHC-HCA_1_21_B
500.0	607.0	nmaahc_2007.1.69.1.21.C	NMAAHC-HCA_1_21_C
500.0	612.0	nmaahc_2007.1.69.1.21.D	NMAAHC-HCA_1_21_D
500.0	603.0	nmaahc_2007.1.69.1.22.A	NMAAHC-HCA_1_22_A
499.0	627.0	nmaahc_2007.1.69.1.22.B	NMAAHC-HCA_1_22_B
500.0	607.0	nmaahc_2007.1.69.1.22.C	NMAAHC-HCA_1_22_C
499.0	627.0	nmaahc_2007.1.69.1.22.D	NMAAHC-HCA_1_22_D
500.0	603.0	nmaahc_2007.1.69.1.23.A	NMAAHC-HCA_1_23_A
499.0	627.0	nmaahc_2007.1.69.1.23.B	NMAAHC-HCA_1_23_B
500.0	607.0	nmaahc_2007.1.69.1.23.C	NMAAHC-HCA_1_23_C
499.0	627.0	nmaahc_2007.1.69.1.23.D	NMAAHC-HCA_1_23_D
500.0	603.0	nmaahc_2007.1.69.1.24.A	NMAAHC-HCA_1_24_A
499.0	627.0	nmaahc_2007.1.69.1.24.B	NMAAHC-HCA_1_24_B
500.0	607.0	nmaahc_2007.1.69.1.24.C	NMAAHC-HCA_1_24_C
499.0	627.0	nmaahc_2007.1.69.1.24.D	NMAAHC-HCA_1_24_D
500.0	603.0	nmaahc_2007.1.69.1.25.A	NMAAHC-HCA_1_25_A
499.0	627.0	nmaahc_2007.1.69.1.25.B	NMAAHC-HCA_1_25_B
500.0	607.0	nmaahc_2007.1.69.1.25.C	NMAAHC-HCA_1_25_C
499.0	627.0	nmaahc_2007.1.69.1.25.D	NMAAHC-HCA_1_25_D
500.0	603.0	nmaahc_2007.1.69.1.26.A	NMAAHC-HCA_1_26_A
499.0	627.0	nmaahc_2007.1.69.1.26.B	NMAAHC-HCA_1_26_B
500.0	607.0	nmaahc_2007.1.69.1.26.C	NMAAHC-HCA_1_26_C
499.0	627.0	nmaahc_2007.1.69.1.26.D	NMAAHC-HCA_1_26_D
500.0	603.0	nmaahc_2007.1.69.1.27.A	NMAAHC-HCA_1_27_A
499.0	627.0	nmaahc_2007.1.69.1.27.B	NMAAHC-HCA_1_27_B
500.0	607.0	nmaahc_2007.1.69.1.27.C	NMAAHC-HCA_1_27_C
499.0	627.0	nmaahc_2007.1.69.1.27.D	NMAAHC-HCA_1_27_D
500.0	603.0	nmaahc_2007.1.69.1.28.A	NMAAHC-HCA_1_28_A
499.0	627.0	nmaahc_2007.1.69.1.28.B	NMAAHC-HCA_1_28_B
500.0	607.0	nmaahc_2007.1.69.1.28.C	NMAAHC-HCA_1_28_C
499.0	627.0	nmaahc_2007.1.69.1.28.D	NMAAHC-HCA_1_28_D
500.0	603.0	nmaahc_2007.1.69.1.29.A	NMAAHC-HCA_1_29_A
499.0	627.0	nmaahc_2007.1.69.1.29.B	NMAAHC-HCA_1_29_B
500.0	607.0	nmaahc_2007.1.69.1.29.C	NMAAHC-HCA_1_29_C
499.0	627.0	nmaahc_2007.1.69.1.29.D	NMAAHC-HCA_1_29_D
499.0	607.0	nmaahc_2007.1.69.1.3.A	NMAAHC-HCA_1_3_A
499.0	623.0	nmaahc_2007.1.69.1.3.B	NMAAHC-HCA_1_3_B
500.0	605.0	nmaahc_2007.1.69.1.3.C	NMAAHC-HCA_1_3_C
499.0	603.0	nmaahc_2007.1.69.1.3.D	NMAAHC-HCA_1_3_D
500.0	603.0	nmaahc_2007.1.69.1.30.A	NMAAHC-HCA_1_30_A
499.0	627.0	nmaahc_2007.1.69.1.30.B	NMAAHC-HCA_1_30_B
500.0	607.0	nmaahc_2007.1.69.1.30.C	NMAAHC-HCA_1_30_C
499.0	627.0	nmaahc_2007.1.69.1.30.D	NMAAHC-HCA_1_30_D
500.0	603.0	nmaahc_2007.1.69.1.31.A	NMAAHC-HCA_1_31_A
499.0	627.0	nmaahc_2007.1.69.1.31.B	NMAAHC-HCA_1_31_B
500.0	607.0	nmaahc_2007.1.69.1.31.C	NMAAHC-HCA_1_31_C
